1) What is your age?,2) How do you identify your gender?,3) What is your marital status?,4) How would you describe the size of your social network?,"5) How would you rate the level of support and closeness you feel from your family members?
[ 1.Low 2.Moderate 3.High 4.Very high ]",6) To what extent do you experience feelings of loneliness?,7) How readily available is social support for you in times of need?,"8) How would you rate your overall emotional well-being and happiness levels?
[ 1.Very Low 2.Low 3.Moderate 4.High ]","9) How often do you engage in social interactions with friends, family, or acquaintances?",10) To what extent do you feel a sense of belongingness and connectedness to others?,"11) How would you rate the support you receive from others?
[ 1.Very Low 2.Low 3.Moderate 4.High ]","12) Overall, how satisfied are you with your life circumstances?",13) How much trust do you have in your close relationships?,14) How supportive are your friends in times of need?,15) How involved are you in community activities or organizations?,16) How would you rate your own social skills in interpersonal interactions?
18-25,Female,Single,Moderate (10-50 people),4,Sometimes,Readily available,3,Once a week,Moderately,3,Satisfied,Very little,Extremely supportive,Moderately involved,Average
18-25,Female,Single,Moderate (10-50 people),3,Sometimes,Moderately available,3,Several times a week,Somewhat,3,Satisfied,A great deal,Extremely supportive,Moderately involved,Average
18-25,Female,Single,Small (fewer than 10 people),4,Occasionally,Readily available,3,Several times a week,Moderately,3,Satisfied,A great deal,Extremely supportive,Moderately involved,Average
18-25,Female,Single,Large (51-100 people),4,Frequently,Moderately available,4,Several times a week,Somewhat,2,Satisfied,A great deal,Somewhat supportive,Minimally involved,Average
18-25,Female,Single,Very large (more than 100 people),4,Frequently,Somewhat available,1,Daily,Moderately,1,Dissatisfied,Very little,Somewhat supportive,Moderately involved,Very poor
18-25,Female,Single,Large (51-100 people),3,Occasionally,Somewhat available,3,Several times a week,Moderately,3,Satisfied,A moderate amount,Moderately supportive,Moderately involved,Average
18-25,Male,Single,Very large (more than 100 people),3,Sometimes,Moderately available,3,Several times a week,Somewhat,3,Satisfied,A moderate amount,Moderately supportive,Moderately involved,Average
18-25,Female,Single,Small (fewer than 10 people),4,Occasionally,Moderately available,3,Once a week,Strongly,2,Satisfied,A moderate amount,Moderately supportive,Minimally involved,Very poor
18-25,Female,Single,Moderate (10-50 people),4,Sometimes,Moderately available,3,Rarely,Moderately,3,Satisfied,Some,Moderately supportive,Minimally involved,Average
18-25,Prefer not to say,In a committed relationship,Very large (more than 100 people),4,Frequently,Not available at all,4,Daily,Moderately,1,Very satisfied,A great deal,Extremely supportive,Minimally involved,Very poor
18-25,Male,Single,Very large (more than 100 people),3,Frequently,Not available at all,3,Several times a week,Moderately,3,Satisfied,A great deal,Not supportive,Minimally involved,Average
18-25,Male,Single,Moderate (10-50 people),3,Sometimes,Somewhat available,3,Several times a week,Somewhat,2,Satisfied,Some,Moderately supportive,Moderately involved,Average
18-25,Male,Single,Moderate (10-50 people),3,Frequently,Moderately available,3,Several times a week,Moderately,3,Satisfied,A moderate amount,Moderately supportive,Moderately involved,Average
18-25,Male,Single,Very large (more than 100 people),1,Sometimes,Moderately available,2,Rarely,Somewhat,3,Dissatisfied,A moderate amount,Moderately supportive,Moderately involved,Average
18-25,Female,Single,Moderate (10-50 people),2,Occasionally,Moderately available,3,Daily,Strongly,3,Satisfied,A great deal,Extremely supportive,Moderately involved,Average
18-25,Male,Single,Moderate (10-50 people),3,Frequently,Somewhat available,2,Several times a week,Moderately,2,Dissatisfied,Some,Somewhat supportive,Minimally involved,Below average
18-25,Male,Single,Small (fewer than 10 people),3,Occasionally,Moderately available,3,Several times a week,Moderately,3,Satisfied,A great deal,Extremely supportive,Moderately involved,Average
18-25,Male,Single,Moderate (10-50 people),4,Rarely or never,Moderately available,3,Rarely,Moderately,3,Satisfied,A great deal,Moderately supportive,Actively involved,Average
18-25,Male,Single,Small (fewer than 10 people),4,Occasionally,Not available at all,3,Several times a week,Moderately,3,Satisfied,A great deal,Extremely supportive,Moderately involved,Average
18-25,Male,In a committed relationship,Very large (more than 100 people),4,Occasionally,Somewhat available,3,Several times a week,Somewhat,3,Satisfied,A great deal,Extremely supportive,Moderately involved,Average
18-25,Female,Single,Very large (more than 100 people),4,Sometimes,Moderately available,4,Several times a week,Strongly,4,Very satisfied,A great deal,Extremely supportive,Moderately involved,Average
18-25,Male,Single,Very large (more than 100 people),3,Rarely or never,Readily available,2,Several times a week,Somewhat,3,Satisfied,Some,Somewhat supportive,Actively involved,Above average
18-25,Female,Single,Small (fewer than 10 people),4,Occasionally,Readily available,3,Several times a week,Somewhat,3,Very dissatisfied,A great deal,Moderately supportive,Moderately involved,Average
18-25,Male,Single,Moderate (10-50 people),2,Sometimes,Somewhat available,2,Several times a week,Moderately,3,Satisfied,A moderate amount,Moderately supportive,Minimally involved,Average
18-25,Male,Single,Moderate (10-50 people),2,Rarely or never,Moderately available,3,Several times a week,Moderately,4,Satisfied,A great deal,Extremely supportive,Actively involved,Average
