1) What is your age?,2) How do you identify your gender?,3) What is your marital status?,4) How would you describe the size of your social network?,"5) How would you rate the level of support and closeness you feel from your family members?
[ 1.Low 2.Moderate 3.High 4.Very high ]",6) To what extent do you experience feelings of loneliness?,7) How readily available is social support for you in times of need?,"8) How would you rate your overall emotional well-being and happiness levels?
[ 1.Very Low 2.Low 3.Moderate 4.High ]","9) How often do you engage in social interactions with friends, family, or acquaintances?",10) To what extent do you feel a sense of belongingness and connectedness to others?,"11) How would you rate the support you receive from others?
[ 1.Very Low 2.Low 3.Moderate 4.High ]","12) Overall, how satisfied are you with your life circumstances?",13) How much trust do you have in your close relationships?,14) How supportive are your friends in times of need?,15) How involved are you in community activities or organizations?,16) How would you rate your own social skills in interpersonal interactions?
0,0,2,1,3,3,2,2,1,0,2,1,3,0,2,1
0,0,2,1,2,3,0,2,3,2,2,1,0,0,2,1
0,0,2,2,3,1,2,2,3,0,2,1,0,0,2,1
0,0,2,0,3,0,0,3,3,2,1,1,0,3,1,1
0,0,2,3,3,0,3,0,0,0,0,0,3,3,2,3
0,0,2,0,2,1,3,2,3,0,2,1,1,1,2,1
0,1,2,3,2,3,0,2,3,2,2,1,1,1,2,1
0,0,2,2,3,1,0,2,1,3,1,1,1,1,1,3
0,0,2,1,3,3,0,2,2,0,2,1,2,1,1,1
0,2,0,3,3,0,1,3,0,0,0,3,0,0,1,3
0,1,2,3,2,0,1,2,3,0,2,1,0,2,1,1
0,1,2,1,2,3,3,2,3,2,1,1,2,1,2,1
0,1,2,1,2,0,0,2,3,0,2,1,1,1,2,1
0,1,2,3,0,3,0,1,2,2,2,0,1,1,2,1
0,0,2,1,1,1,0,2,0,3,2,1,0,0,2,1
0,1,2,1,2,0,3,1,3,0,1,0,2,3,1,2
0,1,2,2,2,1,0,2,3,0,2,1,0,0,2,1
0,1,2,1,3,2,0,2,2,0,2,1,0,1,0,1
0,1,2,2,3,1,1,2,3,0,2,1,0,0,2,1
0,1,0,3,3,1,3,2,3,2,2,1,0,0,2,1
0,0,2,3,3,3,0,3,3,3,3,3,0,0,2,1
0,1,2,3,2,2,2,1,3,2,2,1,2,3,0,0
0,0,2,2,3,1,2,2,3,2,2,2,0,1,2,1
0,1,2,1,1,3,3,1,3,0,2,1,1,1,1,1
0,1,2,1,1,2,0,2,3,0,3,1,0,0,0,1
0,1,2,1,3,2,0,2,0,2,2,1,2,1,1,1
0,1,2,0,2,1,1,1,3,2,0,3,0,1,2,0
0,0,2,2,3,2,2,3,0,0,0,1,0,0,1,1
0,1,2,1,2,1,0,2,3,0,2,1,0,0,1,1
0,1,2,2,3,1,3,2,3,0,1,0,0,0,3,0
0,1,2,1,2,2,0,2,0,0,2,1,0,3,0,0
0,1,2,3,3,1,2,3,3,3,3,3,0,0,0,0
0,0,2,1,3,1,3,2,3,2,1,1,1,1,0,1
0,1,2,1,3,2,3,3,2,2,2,1,2,3,2,1
0,1,2,1,2,2,1,3,1,2,0,1,0,0,2,1
0,0,2,1,1,2,0,2,3,2,2,1,1,1,2,1
0,0,2,3,2,3,3,2,0,3,2,0,1,0,0,0
0,0,2,1,2,3,3,2,1,2,2,0,1,3,1,1
0,0,2,1,3,1,2,2,0,0,3,3,0,1,2,1
0,1,2,2,3,2,1,2,3,2,2,0,1,1,3,1
0,1,2,2,2,1,3,2,1,2,2,1,0,0,1,1
0,1,2,3,3,1,0,2,0,0,2,1,0,0,1,1
0,0,2,1,2,3,3,2,3,0,1,1,1,1,2,1
0,0,2,1,3,2,2,2,0,0,2,1,0,1,2,1
0,0,2,2,2,1,3,2,0,2,1,0,3,3,3,2
0,1,2,1,3,1,3,2,3,2,2,1,1,1,0,0
0,0,2,0,2,2,3,3,1,2,1,1,2,1,2,1
0,1,2,3,3,2,2,3,0,3,3,3,0,0,0,0
0,1,2,1,2,1,0,3,3,0,3,1,0,0,2,1
0,0,2,2,2,3,0,2,3,0,2,1,2,1,1,2
0,1,0,1,1,0,3,0,2,2,1,1,1,1,2,1
0,0,2,0,3,0,3,1,0,0,1,1,1,3,2,1
0,0,2,1,2,1,0,2,1,3,2,1,0,1,1,1
0,1,2,2,1,3,0,2,1,2,2,0,0,0,2,1
0,1,2,3,3,2,0,2,3,0,2,3,0,0,2,1
0,0,2,1,3,2,3,3,0,0,2,1,0,1,2,1
0,0,2,2,3,1,3,3,2,0,2,1,0,0,2,1
0,1,2,1,3,3,3,2,3,2,2,1,2,1,2,1
0,1,0,3,3,2,2,3,0,0,2,3,0,0,0,0
0,0,2,0,3,3,2,3,0,3,3,1,0,0,0,0
0,0,2,2,2,2,0,2,2,2,1,1,2,3,1,2
0,0,2,1,2,3,0,2,1,2,1,1,1,2,1,1
0,1,2,2,1,0,1,0,2,1,0,2,3,3,3,3
0,1,0,2,1,0,3,1,2,2,1,0,0,1,1,1
0,1,2,2,1,1,2,2,0,0,2,1,1,1,0,0
0,1,2,3,3,2,2,3,0,2,2,1,1,1,0,1
0,1,2,1,2,1,3,3,0,2,1,0,0,0,1,1
0,1,0,1,3,2,2,3,0,3,2,1,0,0,2,1
0,0,2,1,2,1,2,2,0,0,2,1,2,1,2,1
0,1,2,2,3,1,0,3,0,3,3,3,0,0,2,2
